value,count(1)
bottomshiro2020 shirosbirthday nsfw shance,2
themoyboys socialstaraward iheartawards,2
ozark,2
trump2020landslide,2
jagnation,2
twitternaturecommunity,2
aquarius,2
afterlife,2
scorpios,2
tacotuesday,2
btscarpoolfeb25 bts army latelateshow,2
ncaabaseball,2
kuttistory,2
tuesdaytruth,2
iot,2
thefive trump2020 maga2020landslide,2
tst,2
mood newreleases2020,2
motherlandcalls sky volgograd,2
mujseshaadikaroge,2
t32020,2
potus,2
raise hand retweet presidenttrump sue those illegally conspired,2
theone,2
podcast,2
britawards2020,2
artshare,2
randomactsofkindness,2
gainszn,2
sidharthshukla shehnazkaur,2
pinsiders,2
sb19cnnlife sb19givesyoulife sb19,2
fadefrenzy nbaallstar,2
dna,2
turtletuesday,2
poetry bible god,2
discorddown,2
horror,2
btsarmy bestfanarmy,2
me bestchoreography iheartawards,2
favebatstory,2
tanhaji,2
jhopebirthday,2
exolsupportnng,2
familyonamission hookem,2
cbjvsphi,2
nwapowerrr,2
seventeen,2
teampete,2
qarmy qanon,2
lisa,2
prototype javascript,2
ericafernandes,2
blockchain,2
elevon,2
bancodeseries,2
climate,2
earnhistory,2
airdrop ebx,2
policestate,2
nebpreps,2
btc,2
aom,2
lockeandkey,2
valimai,2
gold,2
social50 iheartawards,2
happytimes happyset,2
ygkc,2
irs,2
photochallenge2020february,2
selenagomez selenagom notfair imspecial,2
batffleck batfleck thebatman,2
baekhyun,2
parcelfarceuk,2
antifa,2
stillvotingyang unsuspend,2
theyareexobecauseofexo,2
smokeandmirrorstour,2
riverdale,2
malliard,2
spotifyhouseofchanges,2
thalapathyvijay master,2
weloveliam,2
greavsie,2
shortyawards getthew,2
theresident,2
coal,2
bernieintacoma bernie2020 notmeus,2
ad,2
vunbeatable maranamass,2
neozonechartshow,2
ubicaucus,2
bookbirthday,2
daedalus shelley,2
dougford education,2
btsxsia,2
spygate kavanaugh feinstein,2
realmenrealsex musclebear,2
fireemblemthreehouses fe3h byleth jeralteisner,2
trans,2
escapefromtarkov,2
yankees,2
summerslam,2
ca,2
ten,2
sonicthehedgehog,2
ggpr,2
competition,2
betweenthescenes,2
cygnus,2
walkaway,2
illustrations,2
latinx,2
newsnight,2
sehun,2
xiabaolong hongkong,2
resistance wwii,2
brits2020 brits,2
cnn msnbc,2
breaking 9today,2
soyeon soojin,2
nowplaying anghami,2
xena,2
postcrossing,2
ridefair,2
paraschhabra biggboss13,2
aaf,2
abcforlife starzgettheapp,2
vaccine,2
trump bloomberg,2
bears,2
coronavirusoutbreak,2
persecuted humanrights christian church truth,2
new brits,2
wegotplayed,2
shittyconceptmujhseshaadikroge,2
decouple,2
inlinkz linkup,2
jokes funny humor joke,2
wangyibo,2
quotes,2
trakt,2
johnbolton,2
proclub,2
wilderfury2,2
apexlegends,2
btsarmy,2
writers,2
torvspit,2
proudofaltnews,2
nairobiriver nairobi,2
beagle,2
tuesday,2
huawei,2
carnivalbarkingclown,2
sidnaaz fansdemandsidnaazshow,2
climatecrisis,2
bestcoversong dancingwithastranger iheartawards,2
lfc ucl,2
aamu,2
crochet,2
blog,2
